,PC1,PC2,abs_PC1
FC_LocalSimple_mean3_stderr,0.32915625193928016,-0.01448659355239539,0.32915625193928016
SP_Summaries_welch_rect_area_5_1,0.31563069138293637,-0.044970426808673344,0.31563069138293637
DN_HistogramMode_5,0.31226433420353755,-0.059733260590740946,0.31226433420353755
CO_trev_1_num,-0.30168509261844456,0.029428402213553737,0.30168509261844456
DN_HistogramMode_10,0.2984404284683093,-0.06951925268363728,0.2984404284683093
SB_BinaryStats_diff_longstretch0,0.25817699295189,-0.14794524240979143,0.25817699295189
MD_hrv_classic_pnn40,0.24656361727342288,0.23062132557163986,0.24656361727342288
SB_BinaryStats_mean_longstretch1,0.2363526987640257,0.15405290989594841,0.2363526987640257
CO_FirstMin_ac,-0.22217800406041235,0.24485518835807604,0.22217800406041235
SP_Summaries_welch_rect_centroid,-0.21220415276570506,-0.2938102388773795,0.21220415276570506
IN_AutoMutualInfoStats_40_gaussian_fmmi,-0.2048144484569892,0.26495563773711506,0.2048144484569892
CO_f1ecac,0.20480852532025237,0.2630794848377528,0.20480852532025237
CO_HistogramAMI_even_2_5,0.19779917144539536,0.21065314430084786,0.19779917144539536
PD_PeriodicityWang_th0_01,-0.19312760470172993,0.2703616430222827,0.19312760470172993
FC_LocalSimple_mean1_tauresrat,-0.1634127739045212,-0.33378921317090077,0.1634127739045212
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.1193838889115385,-0.22646796395788496,0.1193838889115385
DN_OutlierInclude_n_001_mdrmd,0.09935627190364632,-0.25717379483752595,0.09935627190364632
CO_Embed2_Dist_tau_d_expfit_meandiff,-0.0955302598463488,-0.28594450433910235,0.0955302598463488
SB_TransitionMatrix_3ac_sumdiagcov,-0.08718353861950093,0.19026694860393742,0.08718353861950093
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,-0.08533771232622418,-0.13630505692746014,0.08533771232622418
DN_OutlierInclude_p_001_mdrmd,-0.032078496132073635,0.34009744038581713,0.032078496132073635
SB_MotifThree_quantile_hh,-0.02353382130731163,-0.07403413131711827,0.02353382130731163
