series_name,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
total_viajeros,229446.53525008372,251413.28877509208,8.965199777621374,3.0,0.41998397761053874,-37621248777920.6,1.0,30.0,0.013774104683195593,3.0,0.09999506265265559,2.0,0.05555555555555555,0.20952380952380964,0.32380952380952394,5887821025.156873,6.0,1.8518419905565255,0.8333333333333334,0.8571428571428571,0.1227184630308513,53029.72548930321
via_aerea,79476.0,87374.7,6.436692282820492,10.0,0.20592866768286128,-3729119483691.702,1.0,34.0,0.010204081632653059,11.0,0.08332345247597472,9.0,0.07142857142857142,0.18571428571428583,0.32380952380952394,581160373.9735217,5.0,1.9866572963341218,0.8571428571428571,0.8571428571428571,0.1718058482431918,20602.59134574043
via_terrestre,111306.0,93707.5,8.996925436125805,3.0,0.4519317525239052,-37117172588351.13,1.0,30.0,0.005509641873278237,3.0,0.09999464771042393,2.0,0.05555555555555555,0.25714285714285723,0.30952380952380965,4697454174.920305,6.0,1.768209299399012,0.7619047619047619,0.8333333333333334,0.1227184630308513,45365.926583479384
via_maritima,2950.6,1475.3,2.770973618935898,6.0,0.12470080461243864,-24843812894.033474,0.8995215311004785,9.0,0.008328375966686497,11.0,0.12495586890949682,4.0,0.2,0.03333333333333342,0.4238095238095239,33613670.11487411,5.0,1.8431301837538347,0.8571428571428571,0.8571428571428571,0.5154175447295755,5830.2637881338405
tipo_turista,176895.0961426179,193606.7057568797,8.721277384531119,2.0,0.2853768158050373,-18357520681916.055,1.0,30.0,0.013774104683195593,3.0,0.09999392273697306,1.0,0.05555555555555555,0.15238095238095248,0.32380952380952394,3241289867.23961,6.0,1.8684434733050646,0.8571428571428571,0.8571428571428571,0.14726215563702155,42808.979381979945
tipo_excursionista,34357.622986510265,28631.35248875855,10.624821681751035,15.0,0.47231556583475226,-670085751881.4442,0.9808612440191388,30.0,0.005509641873278237,52.0,0.0999830310247161,14.0,0.05263157894736842,0.2666666666666668,0.3190476190476192,539088591.1807286,4.0,1.7931958895267535,0.7619047619047619,0.8571428571428571,0.09817477042468103,13934.21766012112
tipo_viajero,12824.6,6412.3,7.272866006397012,11.0,0.2768830764158651,-6664063623423.538,0.9808612440191388,18.0,0.04166666666666667,35.0,0.09089946399491779,10.0,0.023809523809523808,0.5571428571428573,-0.45238095238095233,485167798.87421525,5.0,1.8258594712875171,0.8571428571428571,0.5714285714285714,0.1718058482431918,16385.926945496205
